Timestamp: 23.5586s. Il peer: 1.1.6.201 Unchoked: 1.1.6.85. Upload: 127.2bps, Download: 114.8bps; optimistically unchoked: 0
Timestamp: 23.5735s. Il peer: 1.1.8.113 Unchoked: 1.1.6.17. Upload: 112.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.5925s. Il peer: 1.1.7.65 Unchoked: 1.1.7.9. Upload: 127.2bps, Download: 133.6bps; optimistically unchoked: 0
Timestamp: 23.5925s. Il peer: 1.1.7.65 Unchoked: 1.1.8.41. Upload: 127.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.5925s. Il peer: 1.1.7.65 Unchoked: 1.1.6.57. Upload: 127.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.5925s. Il peer: 1.1.7.65 Unchoked: 1.1.8.33. Upload: 127.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.6964s. Il peer: 1.1.7.61 Unchoked: 1.1.5.173. Upload: 205.6bps, Download: 118.8bps; optimistically unchoked: 0
Timestamp: 23.6964s. Il peer: 1.1.7.61 Unchoked: 1.1.6.141. Upload: 127.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.6964s. Il peer: 1.1.7.61 Unchoked: 1.1.7.41. Upload: 127.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.6964s. Il peer: 1.1.7.61 Unchoked: 1.1.7.85. Upload: 127.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.6995s. Il peer: 1.1.6.209 Unchoked: 1.1.5.173. Upload: 205.6bps, Download: 118.8bps; optimistically unchoked: 0
Timestamp: 23.6995s. Il peer: 1.1.6.209 Unchoked: 1.1.6.125. Upload: 127.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.6995s. Il peer: 1.1.6.209 Unchoked: 1.1.5.225. Upload: 127.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.6995s. Il peer: 1.1.6.209 Unchoked: 1.1.6.225. Upload: 127.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.7243s. Il peer: 1.1.7.213 Unchoked: 1.1.7.217. Upload: 212.8bps, Download: 125.6bps; optimistically unchoked: 0
Timestamp: 23.7243s. Il peer: 1.1.7.213 Unchoked: 1.1.7.221. Upload: 130.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 23.8619s. Il peer: 1.1.6.205 Unchoked: 1.1.5.177. Upload: 220bps, Download: 78836.8bps; optimistically unchoked: 0
Timestamp: 23.893s. Il peer: 1.1.8.105 Unchoked: 1.1.6.157. Upload: 236.4bps, Download: 105068bps; optimistically unchoked: 0
Timestamp: 23.9302s. Il peer: 1.1.7.241 Unchoked: 1.1.7.61. Upload: 138.4bps, Download: 129.2bps; optimistically unchoked: 0
Timestamp: 23.9716s. Il peer: 1.1.7.61 Unchoked: 1.1.6.189. Upload: 212.8bps, Download: 122bps; optimistically unchoked: 0
Timestamp: 23.9718s. Il peer: 1.1.6.209 Unchoked: 1.1.6.189. Upload: 212.8bps, Download: 122bps; optimistically unchoked: 0
Timestamp: 24.0742s. Il peer: 1.1.7.217 Unchoked: 1.1.7.221. Upload: 130.8bps, Download: 111.2bps; optimistically unchoked: 0
Timestamp: 24.0742s. Il peer: 1.1.7.217 Unchoked: 1.1.8.117. Upload: 130.8bps, Download: 107.6bps; optimistically unchoked: 0
